date,region,channel,product_category,customer_segment,revenue,units
2026-05-01,APAC,Retail,Apparel,Consumer,544.68,15
2026-05-01,APAC,Retail,Apparel,SMB,722.12,38
2026-05-01,APAC,Retail,Apparel,Enterprise,750.52,34
2026-05-01,APAC,Retail,Home Goods,Consumer,693.82,31
2026-05-01,APAC,Retail,Home Goods,SMB,1109.21,51
2026-05-01,APAC,Retail,Home Goods,Enterprise,1044.63,47
2026-05-01,APAC,Retail,Grocery,Consumer,558.98,13
2026-05-01,APAC,Retail,Grocery,SMB,830.89,37
2026-05-01,APAC,Retail,Grocery,Enterprise,728.34,20
2026-05-01,APAC,Online,Electronics,Consumer,962.05,22
2026-05-01,APAC,Online,Electronics,SMB,1286.31,40
2026-05-01,APAC,Online,Electronics,Enterprise,1004.95,25
2026-05-01,APAC,Online,Apparel,Consumer,527.34,25
2026-05-01,APAC,Online,Apparel,SMB,852.54,30
2026-05-01,APAC,Online,Apparel,Enterprise,763.38,26
2026-05-01,APAC,Online,Home Goods,Consumer,727.41,16
2026-05-01,APAC,Online,Home Goods,SMB,899.87,50
2026-05-01,APAC,Online,Home Goods,Enterprise,895.24,21
2026-05-01,APAC,Online,Grocery,Consumer,559.47,24
2026-05-01,APAC,Online,Grocery,SMB,845.23,30
2026-05-01,APAC,Online,Grocery,Enterprise,810.9,34
2026-05-01,APAC,Wholesale,Electronics,Consumer,1272.28,44
2026-05-01,APAC,Wholesale,Electronics,SMB,772.56,18
2026-05-01,APAC,Wholesale,Electronics,Enterprise,570.67,12
2026-05-01,APAC,Wholesale,Apparel,Consumer,827.31,20
2026-05-01,APAC,Wholesale,Apparel,SMB,1316.07,32
2026-05-01,APAC,Wholesale,Apparel,Enterprise,1009.97,50
2026-05-01,APAC,Wholesale,Home Goods,Consumer,999.54,36
2026-05-01,APAC,Wholesale,Home Goods,SMB,442.2,26
2026-05-01,APAC,Wholesale,Home Goods,Enterprise,1056.96,46
2026-05-01,APAC,Wholesale,Grocery,Consumer,993.13,25
2026-05-01,APAC,Wholesale,Grocery,SMB,1046.31,23
2026-05-01,APAC,Wholesale,Grocery,Enterprise,1094.02,24
2026-05-02,North America,Retail,Electronics,Consumer,895.34,45
2026-05-02,North America,Retail,Electronics,SMB,1242.21,51
2026-05-02,North America,Retail,Electronics,Enterprise,1356.97,43
2026-05-02,North America,Retail,Apparel,Consumer,567.1,15
2026-05-02,North America,Retail,Apparel,SMB,946.43,31
2026-05-02,North America,Retail,Apparel,Enterprise,821.5,20
2026-05-02,North America,Retail,Home Goods,Consumer,892.82,51
2026-05-02,North America,Retail,Home Goods,SMB,1269.58,61
2026-05-02,North America,Retail,Home Goods,Enterprise,915.2,41
2026-05-02,North America,Retail,Grocery,Consumer,560.46,30
2026-05-02,North America,Retail,Grocery,SMB,923.98,28
2026-05-02,North America,Retail,Grocery,Enterprise,782.86,23
2026-05-02,North America,Online,Electronics,Consumer,926.5,30
2026-05-02,North America,Online,Electronics,SMB,423.74,9
2026-05-02,North America,Online,Electronics,Enterprise,1278.41,57
2026-05-02,North America,Online,Apparel,Consumer,653.99,24
2026-05-02,North America,Online,Apparel,SMB,837.39,34
2026-05-02,North America,Online,Apparel,Enterprise,748.6,19
2026-05-02,North America,Online,Home Goods,Consumer,871.19,19
2026-05-02,North America,Online,Home Goods,SMB,1131.46,25
2026-05-02,North America,Online,Home Goods,Enterprise,1070.62,46
2026-05-02,North America,Online,Grocery,Consumer,619.89,14
2026-05-02,North America,Online,Grocery,SMB,993.91,38
2026-05-02,North America,Online,Grocery,Enterprise,726.42,36
2026-05-02,North America,Wholesale,Electronics,Consumer,467.57,14
2026-05-02,North America,Wholesale,Electronics,SMB,644.11,14
2026-05-02,North America,Wholesale,Electronics,Enterprise,649.29,16
2026-05-02,North America,Wholesale,Apparel,Consumer,894.55,37
2026-05-02,North America,Wholesale,Apparel,SMB,1068.04,56
2026-05-02,North America,Wholesale,Apparel,Enterprise,934.54,50
2026-05-02,North America,Wholesale,Home Goods,Consumer,1215.45,52
2026-05-02,North America,Wholesale,Home Goods,SMB,540.14,16
2026-05-02,North America,Wholesale,Home Goods,Enterprise,434.21,12
2026-05-02,North America,Wholesale,Grocery,Consumer,875.15,38
2026-05-02,North America,Wholesale,Grocery,SMB,997.05,24
2026-05-02,North America,Wholesale,Grocery,Enterprise,1151.22,64
2026-05-02,Europe,Retail,Electronics,Consumer,1221.99,80
2026-05-02,Europe,Retail,Electronics,SMB,698.17,18
2026-05-02,Europe,Retail,Electronics,Enterprise,584.27,15
2026-05-02,Europe,Retail,Apparel,Consumer,817.4,25
2026-05-02,Europe,Retail,Apparel,SMB,1128.58,65
2026-05-02,Europe,Retail,Apparel,Enterprise,1076.24,25
2026-05-02,Europe,Retail,Home Goods,Consumer,1171.51,29
2026-05-02,Europe,Retail,Home Goods,SMB,437.54,13
2026-05-02,Europe,Retail,Home Goods,Enterprise,1327.32,54
2026-05-02,Europe,Retail,Grocery,Consumer,909.48,21
2026-05-02,Europe,Retail,Grocery,SMB,1214.74,28
2026-05-02,Europe,Retail,Grocery,Enterprise,926.63,43
2026-05-02,Europe,Online,Electronics,Consumer,400.04,10
2026-05-02,Europe,Online,Electronics,SMB,707.41,17
2026-05-02,Europe,Online,Electronics,Enterprise,556.2,28
2026-05-02,Europe,Online,Apparel,Consumer,915.28,21
2026-05-02,Europe,Online,Apparel,SMB,1309.03,33
2026-05-02,Europe,Online,Apparel,Enterprise,898.22,21
2026-05-02,Europe,Online,Home Goods,Consumer,1226.19,49
2026-05-02,Europe,Online,Home Goods,SMB,477.49,11
2026-05-02,Europe,Online,Home Goods,Enterprise,1365.92,34
2026-05-02,Europe,Online,Grocery,Consumer,750.26,32
2026-05-02,Europe,Online,Grocery,SMB,1176.38,28
2026-05-02,Europe,Online,Grocery,Enterprise,1056.17,25
2026-05-02,Europe,Wholesale,Electronics,Consumer,737.26,25
2026-05-02,Europe,Wholesale,Electronics,SMB,1146.28,47
2026-05-02,Europe,Wholesale,Electronics,Enterprise,947.06,60
2026-05-02,Europe,Wholesale,Apparel,Consumer,1115.84,53
2026-05-02,Europe,Wholesale,Apparel,SMB,520.49,11
2026-05-02,Europe,Wholesale,Apparel,Enterprise,563.63,24
2026-05-02,Europe,Wholesale,Home Goods,Consumer,479.28,10
2026-05-02,Europe,Wholesale,Home Goods,SMB,737.62,23
2026-05-02,Europe,Wholesale,Home Goods,Enterprise,744.39,16
2026-05-02,Europe,Wholesale,Grocery,Consumer,1185.25,58
2026-05-02,Europe,Wholesale,Grocery,SMB,620.75,34
2026-05-02,Europe,Wholesale,Grocery,Enterprise,508.44,18
2026-05-02,APAC,Retail,Electronics,Consumer,940.15,28
2026-05-02,APAC,Retail,Electronics,SMB,1146.33,37
2026-05-02,APAC,Retail,Electronics,Enterprise,1070.48,47
2026-05-02,APAC,Retail,Apparel,Consumer,546.39,15
2026-05-02,APAC,Retail,Apparel,SMB,937.6,30
2026-05-02,APAC,Retail,Apparel,Enterprise,725.4,19
2026-05-02,APAC,Retail,Home Goods,Consumer,730.57,28
2026-05-02,APAC,Retail,Home Goods,SMB,895.9,52
2026-05-02,APAC,Retail,Home Goods,Enterprise,913.16,37
2026-05-02,APAC,Retail,Grocery,Consumer,500.23,12
2026-05-02,APAC,Retail,Grocery,SMB,804.59,33
2026-05-02,APAC,Retail,Grocery,Enterprise,696.47,25
2026-05-02,APAC,Online,Electronics,Consumer,900.8,47
2026-05-02,APAC,Online,Electronics,SMB,1282.61,46
2026-05-02,APAC,Online,Electronics,Enterprise,1296.56,30
2026-05-02,APAC,Online,Apparel,Consumer,492.32,14
2026-05-02,APAC,Online,Apparel,SMB,771.72,51
2026-05-02,APAC,Online,Apparel,Enterprise,797.66,33
2026-05-02,APAC,Online,Home Goods,Consumer,668.56,19
2026-05-02,APAC,Online,Home Goods,SMB,1066.88,36
2026-05-02,APAC,Online,Home Goods,Enterprise,902.64,30
2026-05-02,APAC,Online,Grocery,Consumer,547.59,13
2026-05-02,APAC,Online,Grocery,SMB,830.39,47
2026-05-02,APAC,Online,Grocery,Enterprise,714.93,23
2026-05-02,APAC,Wholesale,Electronics,Consumer,1210.3,30
2026-05-02,APAC,Wholesale,Electronics,SMB,618.94,16
2026-05-02,APAC,Wholesale,Electronics,Enterprise,569.43,27
2026-05-02,APAC,Wholesale,Apparel,Consumer,791.9,50
2026-05-02,APAC,Wholesale,Apparel,SMB,1119.28,27
2026-05-02,APAC,Wholesale,Apparel,Enterprise,1142.05,66
2026-05-02,APAC,Wholesale,Home Goods,Consumer,955.51,45
2026-05-02,APAC,Wholesale,Home Goods,SMB,465.41,12
2026-05-02,APAC,Wholesale,Home Goods,Enterprise,1195.0,34
2026-05-02,APAC,Wholesale,Grocery,Consumer,857.81,56
2026-05-02,APAC,Wholesale,Grocery,SMB,1138.95,62
2026-05-02,APAC,Wholesale,Grocery,Enterprise,922.37,33
2026-05-03,North America,Retail,Electronics,Consumer,1108.98,36
2026-05-03,North America,Retail,Electronics,SMB,1532.78,92
2026-05-03,North America,Retail,Electronics,Enterprise,1230.96,42
2026-05-03,North America,Retail,Apparel,Consumer,668.96,17
2026-05-03,North America,Retail,Apparel,SMB,759.69,23
2026-05-03,North America,Retail,Apparel,Enterprise,628.43,14
2026-05-03,North America,Retail,Home Goods,Consumer,871.67,23
2026-05-03,North America,Retail,Home Goods,SMB,1009.63,33
2026-05-03,North America,Retail,Home Goods,Enterprise,1065.66,25
2026-05-03,North America,Retail,Grocery,Consumer,548.02,14
2026-05-03,North America,Retail,Grocery,SMB,828.97,36
2026-05-03,North America,Retail,Grocery,Enterprise,821.99,24
2026-05-03,North America,Online,Electronics,Consumer,1030.83,30
2026-05-03,North America,Online,Electronics,SMB,364.06,15
2026-05-03,North America,Online,Electronics,Enterprise,1305.58,56
2026-05-03,North America,Online,Apparel,Consumer,600.9,24
2026-05-03,North America,Online,Apparel,SMB,828.43,37
2026-05-03,North America,Online,Apparel,Enterprise,787.32,21
2026-05-03,North America,Online,Home Goods,Consumer,800.64,29
2026-05-03,North America,Online,Home Goods,SMB,1058.44,33
2026-05-03,North America,Online,Home Goods,Enterprise,972.05,35
2026-05-03,North America,Online,Grocery,Consumer,621.63,14
2026-05-03,North America,Online,Grocery,SMB,792.49,19
2026-05-03,North America,Online,Grocery,Enterprise,767.13,20
2026-05-03,North America,Wholesale,Electronics,Consumer,437.2,17
2026-05-03,North America,Wholesale,Electronics,SMB,726.29,19
2026-05-03,North America,Wholesale,Electronics,Enterprise,731.3,26
2026-05-03,North America,Wholesale,Apparel,Consumer,759.73,20
2026-05-03,North America,Wholesale,Apparel,SMB,1060.58,49
2026-05-03,North America,Wholesale,Apparel,Enterprise,1080.33,50
2026-05-03,North America,Wholesale,Home Goods,Consumer,1105.89,44
2026-05-03,North America,Wholesale,Home Goods,SMB,511.87,14
2026-05-03,North America,Wholesale,Home Goods,Enterprise,421.6,14
2026-05-03,North America,Wholesale,Grocery,Consumer,949.11,50
2026-05-03,North America,Wholesale,Grocery,SMB,1189.78,44
2026-05-03,North America,Wholesale,Grocery,Enterprise,1122.22,35
2026-05-03,Europe,Retail,Electronics,Consumer,1442.61,75
2026-05-03,Europe,Retail,Electronics,SMB,691.19,23
2026-05-03,Europe,Retail,Electronics,Enterprise,654.21,30
2026-05-03,Europe,Retail,Apparel,Consumer,878.82,35
2026-05-03,Europe,Retail,Apparel,SMB,1146.28,30
2026-05-03,Europe,Retail,Apparel,Enterprise,987.55,24
2026-05-03,Europe,Retail,Home Goods,Consumer,1081.49,69
2026-05-03,Europe,Retail,Home Goods,SMB,479.34,15
2026-05-03,Europe,Retail,Home Goods,Enterprise,1391.16,40
2026-05-03,Europe,Retail,Grocery,Consumer,879.96,22
2026-05-03,Europe,Retail,Grocery,SMB,1071.85,24
2026-05-03,Europe,Retail,Grocery,Enterprise,973.54,46
2026-05-03,Europe,Online,Electronics,Consumer,418.25,22
2026-05-03,Europe,Online,Electronics,SMB,686.01,19
2026-05-03,Europe,Online,Electronics,Enterprise,581.35,16
2026-05-03,Europe,Online,Apparel,Consumer,843.08,22
2026-05-03,Europe,Online,Apparel,SMB,1205.8,32
2026-05-03,Europe,Online,Apparel,Enterprise,1177.24,63
2026-05-03,Europe,Online,Home Goods,Consumer,1180.78,64
2026-05-03,Europe,Online,Home Goods,SMB,380.2,24
2026-05-03,Europe,Online,Home Goods,Enterprise,1239.68,28
2026-05-03,Europe,Online,Grocery,Consumer,982.41,36
2026-05-03,Europe,Online,Grocery,SMB,1157.91,32
2026-05-03,Europe,Online,Grocery,Enterprise,1062.95,31
2026-05-03,Europe,Wholesale,Electronics,Consumer,798.37,19
2026-05-03,Europe,Wholesale,Electronics,SMB,1083.32,32
2026-05-03,Europe,Wholesale,Electronics,Enterprise,1087.15,28
2026-05-03,Europe,Wholesale,Apparel,Consumer,1368.09,53
2026-05-03,Europe,Wholesale,Apparel,SMB,523.98,17
2026-05-03,Europe,Wholesale,Apparel,Enterprise,510.54,20
2026-05-03,Europe,Wholesale,Home Goods,Consumer,548.98,30
2026-05-03,Europe,Wholesale,Home Goods,SMB,692.13,15
2026-05-03,Europe,Wholesale,Home Goods,Enterprise,646.94,17
2026-05-03,Europe,Wholesale,Grocery,Consumer,1066.95,38
2026-05-03,Europe,Wholesale,Grocery,SMB,572.66,24
2026-05-03,Europe,Wholesale,Grocery,Enterprise,409.45,10
2026-05-03,APAC,Retail,Electronics,Consumer,864.23,30
2026-05-03,APAC,Retail,Electronics,SMB,1204.11,32
2026-05-03,APAC,Retail,Electronics,Enterprise,1141.05,28
2026-05-03,APAC,Retail,Apparel,Consumer,590.34,33
2026-05-03,APAC,Retail,Apparel,SMB,827.91,28
2026-05-03,APAC,Retail,Apparel,Enterprise,694.68,20
2026-05-03,APAC,Retail,Home Goods,Consumer,724.72,17
2026-05-03,APAC,Retail,Home Goods,SMB,1030.53,50
2026-05-03,APAC,Retail,Home Goods,Enterprise,979.97,38
2026-05-03,APAC,Retail,Grocery,Consumer,607.1,14
2026-05-03,APAC,Retail,Grocery,SMB,799.17,52
2026-05-03,APAC,Retail,Grocery,Enterprise,700.25,16
2026-05-03,APAC,Online,Electronics,Consumer,1057.48,35
2026-05-03,APAC,Online,Electronics,SMB,1315.78,34
2026-05-03,APAC,Online,Electronics,Enterprise,1117.0,37
2026-05-03,APAC,Online,Apparel,Consumer,459.72,11
2026-05-03,APAC,Online,Apparel,SMB,834.63,23
2026-05-03,APAC,Online,Apparel,Enterprise,750.75,31
2026-05-03,APAC,Online,Home Goods,Consumer,680.66,22
2026-05-03,APAC,Online,Home Goods,SMB,975.65,35
2026-05-03,APAC,Online,Home Goods,Enterprise,950.26,26
2026-05-03,APAC,Online,Grocery,Consumer,498.51,21
2026-05-03,APAC,Online,Grocery,SMB,818.71,39
2026-05-03,APAC,Online,Grocery,Enterprise,780.43,41
2026-05-03,APAC,Wholesale,Electronics,Consumer,1103.89,53
2026-05-03,APAC,Wholesale,Electronics,SMB,634.19,29
2026-05-03,APAC,Wholesale,Electronics,Enterprise,510.21,11
2026-05-03,APAC,Wholesale,Apparel,Consumer,844.62,27
2026-05-03,APAC,Wholesale,Apparel,SMB,1107.54,53
2026-05-03,APAC,Wholesale,Apparel,Enterprise,1084.73,49
2026-05-03,APAC,Wholesale,Home Goods,Consumer,1064.13,34
2026-05-03,APAC,Wholesale,Home Goods,SMB,445.37,19
2026-05-03,APAC,Wholesale,Home Goods,Enterprise,1398.42,38
2026-05-03,APAC,Wholesale,Grocery,Consumer,842.02,44
2026-05-03,APAC,Wholesale,Grocery,SMB,1209.67,29
2026-05-03,APAC,Wholesale,Grocery,Enterprise,995.91,30
2026-05-04,North America,Retail,Electronics,Consumer,930.94,45
2026-05-04,North America,Retail,Electronics,SMB,1320.4,79
2026-05-04,North America,Retail,Electronics,Enterprise,1334.55,33
2026-05-04,North America,Retail,Apparel,Consumer,559.89,20
2026-05-04,North America,Retail,Apparel,SMB,947.73,57
2026-05-04,North America,Retail,Apparel,Enterprise,832.07,42
2026-05-04,North America,Retail,Home Goods,Consumer,752.53,16
2026-05-04,North America,Retail,Home Goods,SMB,1056.58,56
2026-05-04,North America,Retail,Home Goods,Enterprise,1026.06,26
2026-05-04,North America,Retail,Grocery,Consumer,535.62,24
2026-05-04,North America,Retail,Grocery,SMB,806.47,28
2026-05-04,North America,Retail,Grocery,Enterprise,803.93,19
2026-05-04,North America,Online,Electronics,Consumer,1090.59,32
2026-05-04,North America,Online,Electronics,SMB,401.28,12
2026-05-04,North America,Online,Electronics,Enterprise,1219.08,57
2026-05-04,North America,Online,Apparel,Consumer,469.96,22
2026-05-04,North America,Online,Apparel,SMB,843.42,41
2026-05-04,North America,Online,Apparel,Enterprise,764.52,44
2026-05-04,North America,Online,Home Goods,Consumer,877.64,26
2026-05-04,North America,Online,Home Goods,SMB,1090.6,45
2026-05-04,North America,Online,Home Goods,Enterprise,1034.85,28
2026-05-04,North America,Online,Grocery,Consumer,680.32,23
2026-05-04,North America,Online,Grocery,SMB,825.26,21
2026-05-04,North America,Online,Grocery,Enterprise,680.82,20
2026-05-04,North America,Wholesale,Electronics,Consumer,396.58,14
2026-05-04,North America,Wholesale,Electronics,SMB,607.87,19
2026-05-04,North America,Wholesale,Electronics,Enterprise,584.49,14
2026-05-04,North America,Wholesale,Apparel,Consumer,775.75,45
2026-05-04,North America,Wholesale,Apparel,SMB,1224.94,32
2026-05-04,North America,Wholesale,Apparel,Enterprise,1181.06,36
2026-05-04,North America,Wholesale,Home Goods,Consumer,1114.85,31
2026-05-04,North America,Wholesale,Home Goods,SMB,528.33,14
2026-05-04,North America,Wholesale,Home Goods,Enterprise,477.72,16
2026-05-04,North America,Wholesale,Grocery,Consumer,893.3,51
2026-05-04,North America,Wholesale,Grocery,SMB,1305.42,52
2026-05-04,North America,Wholesale,Grocery,Enterprise,1160.98,51
2026-05-04,Europe,Retail,Electronics,Consumer,1518.6,37
2026-05-04,Europe,Retail,Electronics,SMB,753.27,23
2026-05-04,Europe,Retail,Electronics,Enterprise,791.8,22
2026-05-04,Europe,Retail,Apparel,Consumer,775.72,33
2026-05-04,Europe,Retail,Apparel,SMB,1288.37,44
2026-05-04,Europe,Retail,Apparel,Enterprise,1107.01,32
2026-05-04,Europe,Retail,Home Goods,Consumer,1129.34,34
2026-05-04,Europe,Retail,Home Goods,SMB,452.18,13
2026-05-04,Europe,Retail,Home Goods,Enterprise,1249.74,49
2026-05-04,Europe,Retail,Grocery,Consumer,881.6,35
2026-05-04,Europe,Retail,Grocery,SMB,1073.69,43
2026-05-04,Europe,Retail,Grocery,Enterprise,941.61,26
2026-05-04,Europe,Online,Electronics,Consumer,381.66,9
2026-05-04,Europe,Online,Electronics,SMB,809.71,25
2026-05-04,Europe,Online,Electronics,Enterprise,572.09,23
2026-05-04,Europe,Online,Apparel,Consumer,878.78,19
2026-05-04,Europe,Online,Apparel,SMB,1053.31,23
2026-05-04,Europe,Online,Apparel,Enterprise,1133.56,32
2026-05-04,Europe,Online,Home Goods,Consumer,999.48,48
2026-05-04,Europe,Online,Home Goods,SMB,457.78,17
2026-05-04,Europe,Online,Home Goods,Enterprise,1304.89,34
2026-05-04,Europe,Online,Grocery,Consumer,784.98,37
2026-05-04,Europe,Online,Grocery,SMB,962.35,34
2026-05-04,Europe,Online,Grocery,Enterprise,1035.78,28
2026-05-04,Europe,Wholesale,Electronics,Consumer,830.83,24
2026-05-04,Europe,Wholesale,Electronics,SMB,1149.85,51
2026-05-04,Europe,Wholesale,Electronics,Enterprise,983.36,31
2026-05-04,Europe,Wholesale,Apparel,Consumer,1281.27,71
2026-05-04,Europe,Wholesale,Apparel,SMB,662.4,22
2026-05-04,Europe,Wholesale,Apparel,Enterprise,489.75,26
2026-05-04,Europe,Wholesale,Home Goods,Consumer,528.42,14
2026-05-04,Europe,Wholesale,Home Goods,SMB,722.68,23
2026-05-04,Europe,Wholesale,Home Goods,Enterprise,702.02,15
2026-05-04,Europe,Wholesale,Grocery,Consumer,1383.64,62
2026-05-04,Europe,Wholesale,Grocery,SMB,541.33,12
2026-05-04,Europe,Wholesale,Grocery,Enterprise,503.15,16
2026-05-04,APAC,Retail,Electronics,Consumer,1059.12,45
2026-05-04,APAC,Retail,Electronics,SMB,1095.72,28
2026-05-04,APAC,Retail,Electronics,Enterprise,975.35,32
2026-05-04,APAC,Retail,Apparel,Consumer,559.58,14
2026-05-04,APAC,Retail,Apparel,SMB,782.05,23
2026-05-04,APAC,Retail,Apparel,Enterprise,771.74,17
2026-05-04,APAC,Retail,Home Goods,Consumer,701.72,22
2026-05-04,APAC,Retail,Home Goods,SMB,1020.0,40
2026-05-04,APAC,Retail,Home Goods,Enterprise,858.04,29
2026-05-04,APAC,Retail,Grocery,Consumer,515.89,20
2026-05-04,APAC,Retail,Grocery,SMB,852.91,26
2026-05-04,APAC,Retail,Grocery,Enterprise,831.52,37
2026-05-04,APAC,Online,Electronics,Consumer,956.64,25
2026-05-04,APAC,Online,Electronics,SMB,1205.86,33
2026-05-04,APAC,Online,Electronics,Enterprise,1200.68,34
2026-05-04,APAC,Online,Apparel,Consumer,477.29,12
2026-05-04,APAC,Online,Apparel,SMB,871.03,54
2026-05-04,APAC,Online,Apparel,Enterprise,719.81,23
2026-05-04,APAC,Online,Home Goods,Consumer,638.3,15
2026-05-04,APAC,Online,Home Goods,SMB,932.48,33
2026-05-04,APAC,Online,Home Goods,Enterprise,868.96,23
2026-05-04,APAC,Online,Grocery,Consumer,529.29,19
2026-05-04,APAC,Online,Grocery,SMB,797.63,27
2026-05-04,APAC,Online,Grocery,Enterprise,721.29,16
2026-05-04,APAC,Wholesale,Electronics,Consumer,1189.43,34
2026-05-04,APAC,Wholesale,Electronics,SMB,722.25,17
2026-05-04,APAC,Wholesale,Electronics,Enterprise,640.58,24
2026-05-04,APAC,Wholesale,Apparel,Consumer,728.25,29
2026-05-04,APAC,Wholesale,Apparel,SMB,1086.57,26
2026-05-04,APAC,Wholesale,Apparel,Enterprise,908.34,56
2026-05-04,APAC,Wholesale,Home Goods,Consumer,1166.67,27
2026-05-04,APAC,Wholesale,Home Goods,SMB,460.72,10
2026-05-04,APAC,Wholesale,Home Goods,Enterprise,1268.8,70
2026-05-04,APAC,Wholesale,Grocery,Consumer,782.96,23
2026-05-04,APAC,Wholesale,Grocery,SMB,1206.65,33
2026-05-04,APAC,Wholesale,Grocery,Enterprise,1002.52,23
2026-05-05,North America,Retail,Electronics,Consumer,1156.08,48
2026-05-05,North America,Retail,Electronics,SMB,1351.81,51
2026-05-05,North America,Retail,Electronics,Enterprise,1303.89,40
2026-05-05,North America,Retail,Apparel,Consumer,624.17,16
2026-05-05,North America,Retail,Apparel,SMB,874.46,21
2026-05-05,North America,Retail,Apparel,Enterprise,814.52,24
2026-05-05,North America,Retail,Home Goods,Consumer,811.17,42
2026-05-05,North America,Retail,Home Goods,SMB,1276.42,44
2026-05-05,North America,Retail,Home Goods,Enterprise,1014.44,66
